Review_Year,Complaint_Type,Event_Date,Location,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,PSS_Finding,CRB_Finding,CRB_Individual_Sustained,CRB_Split,Chief_Finding,Chief_Individual_Sustained,CRB_Chief,Concurrence,Chief,Exclusion,Chief_Action_Sustained,Chief_Allegation_Sustained,Chief_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,Notes,FID
2013,Internal,2012-03-14T00:00:00.000Z,375 Roxborough Rd,223,12-1125.01.A.01,12-1125.01.A,1,12-1125.01,Procedure,1,12-1125,1,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,1,0,0,0,1,0,0,1,,1
2013,Citizen,2012-07-04T00:00:00.000Z,1 Beach Av,201,12-0948.02.A.01,12-0948.02.A,1,12-0948.02,Satellite,1,12-0948,2,Sustained,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,0,1,1,1,1,1,1,,2
2013,Citizen,2012-07-05T00:00:00.000Z,336 East Av,219,12-0842.01.A.01,12-0842.01.A,1,12-0842.01,Force,1,12-0842,1,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,3
2013,Citizen,2012-07-05T00:00:00.000Z,336 East Av,219,12-0842.01.B.01,12-0842.01.B,1,12-0842.01,Force,2,12-0842,2,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,4
2013,Citizen,2012-07-05T00:00:00.000Z,336 East Av,219,12-0842.02.A.01,12-0842.02.A,1,12-0842.02,Procedure,1,12-0842,3,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,5
2013,Citizen,2012-07-05T00:00:00.000Z,336 East Av,219,12-0842.02.B.01,12-0842.02.B,1,12-0842.02,Force,2,12-0842,4,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,6
2013,Citizen,2012-07-05T00:00:00.000Z,336 East Av,219,12-0842.03.A.01,12-0842.03.A,1,12-0842.03,Courtesy,1,12-0842,5,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,7
2013,Citizen,2012-07-05T00:00:00.000Z,336 East Av,219,12-0842.03.B.01,12-0842.03.B,1,12-0842.03,Courtesy,2,12-0842,6,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,8
2013,Citizen,2012-07-05T00:00:00.000Z,476 N Clinton Av,287,12-0819.01.A.01,12-0819.01.A,1,12-0819.01,Force,1,12-0819,1,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,9
2013,Citizen,2012-07-22T00:00:00.000Z,1411 North St,227,12-0956.01.A.01,12-0956.01.A,1,12-0956.01,Force,1,12-0956,1,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,10
2013,Citizen,2012-07-24T00:00:00.000Z,137 High St,267,12-1063.01.A.01,12-1063.01.A,1,12-1063.01,Courtesy,1,12-1063,1,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,11
2013,Citizen,2012-07-24T00:00:00.000Z,137 High St,267,12-1063.02.A.01,12-1063.02.A,1,12-1063.02,Courtesy,1,12-1063,2,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,12
2013,Citizen,2012-07-24T00:00:00.000Z,137 High St,267,12-1063.03.A.01,12-1063.03.A,1,12-1063.03,Force,1,12-1063,3,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,13
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.A.01,12-1035.01.A,1,12-1035.01,Force,1,12-1035,1,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,14
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.A.02,12-1035.01.A,2,12-1035.01,Force,2,12-1035,2,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,15
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.A.03,12-1035.01.A,3,12-1035.01,Force,3,12-1035,3,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,16
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.A.04,12-1035.01.A,4,12-1035.01,Force,4,12-1035,4,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,17
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.A.05,12-1035.01.A,5,12-1035.01,Force,5,12-1035,5,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,18
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.B.01,12-1035.01.B,1,12-1035.01,Force,6,12-1035,6,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,19
2013,Internal,2012-03-14T00:00:00.000Z,375 Roxborough Rd,223,12-1125.01.A.02,12-1125.01.A,2,12-1125.01,Procedure,2,12-1125,2,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,1,0,0,0,1,0,0,1,,20
2014,Citizen,2013-09-03T00:00:00.000Z,310 Lyell Av,291,13-0913.04.A.01,13-0913.04.A,1,13-0913.04,Procedure,1,13-0913,11,Unfounded,Unprovable,0,0,Unfounded,0,Unprovable-Unfounded,0,1,0,0,0,0,0,0,0,,21
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.B.02,12-1035.01.B,2,12-1035.01,Force,7,12-1035,7,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,22
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.B.03,12-1035.01.B,3,12-1035.01,Force,8,12-1035,8,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,23
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.B.04,12-1035.01.B,4,12-1035.01,Force,9,12-1035,9,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,24
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.01.B.05,12-1035.01.B,5,12-1035.01,Force,10,12-1035,10,Unprovable,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,25
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.02.A.01,12-1035.02.A,1,12-1035.02,Force,1,12-1035,11,Exonerated,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,0,0,,26
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.03.A.01,12-1035.03.A,1,12-1035.03,Procedure,1,12-1035,12,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,0,0,,27
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.03.A.02,12-1035.03.A,2,12-1035.03,Procedure,2,12-1035,13,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,0,0,,28
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.03.A.03,12-1035.03.A,3,12-1035.03,Procedure,3,12-1035,14,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,0,0,,29
2013,Citizen,2012-08-03T00:00:00.000Z,4 Schwartz St,253,12-1035.03.A.04,12-1035.03.A,4,12-1035.03,Procedure,4,12-1035,15,Unfounded,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,0,0,,30
